Distance,fA,fB,fAB
367059,0.0106328,0.0852055,3.53403e-07
517634,0.0106328,0.0360363,0
14001,0.0106328,1,0.0106328
860995,0.0106328,1,0.0106328
595470,0.0106328,0.0115595,0
166985,0.0106328,0.0109089,0
445995,0.0106328,0.0513548,7.00006e-09
85434,0.0106328,0.0556711,0
665248,0.0106328,0.869075,0.0106325
716920,0.0106328,0.999929,0.0106328
944191,0.0106328,0.0105214,0
359411,0.0106328,1,0.0106328
49472,0.0106328,0.0142688,0
712143,0.0106328,0.0132527,7.80007e-09
342391,0.0106328,0.0217936,0
662764,0.0106328,0.0129647,1.00001e-10
190780,0.0106328,0.0103961,0.0103838
199090,0.0106328,1,0.0106328
199401,0.0106328,0.0200475,0
852338,0.0106328,0.0115154,0
522,0.0106328,0.869086,0.0106325
61753,0.0106328,0.0137476,0
430042,0.0106328,0.0102548,0
965566,0.0106328,0.0205804,2.80002e-09
412503,0.0106328,0.999626,0.0106328
850790,0.0106328,0.109825,3.53803e-07
17281,0.0106328,0.0171535,4.68074e-06
68456,0.0106328,0.0477267,0
783163,0.0106328,0.0115634,0
424370,0.0106328,0.0517397,0
526245,0.0106328,0.0109125,9.00008e-10
287379,0.0106328,0.0511343,1.40001e-09
657878,0.0106328,1,0.0106328
896369,0.0106328,0.0190638,1.00001e-10
541701,0.0106328,0.046193,1.50001e-09
613128,0.0106328,0.0287258,0
217167,0.0106328,0.0100872,0
621057,0.0106328,0.0201028,0
487366,0.0106328,0.502195,1.30001e-08
414013,0.0106328,0.0557654,0
150575,0.0852055,0.0360363,3.00003e-10
353058,0.0852055,1,0.0852055
493936,0.0852055,1,0.0852055
228411,0.0852055,0.0115595,0
200074,0.0852055,0.0109089,3.30003e-09
78936,0.0852055,0.0513548,5.80005e-07
281625,0.0852055,0.0556711,4.76004e-08
298189,0.0852055,0.869075,4.21604e-07
349861,0.0852055,0.999929,0.0852055
577132,0.0852055,0.0105214,2.17102e-07
7648,0.0852055,1,0.0852055
317587,0.0852055,0.0142688,4.70004e-09
345084,0.0852055,0.0132527,3.00003e-09
24668,0.0852055,0.0217936,1.57001e-08
295705,0.0852055,0.0129647,3.43013e-06
176279,0.0852055,0.0103961,6.00005e-09
167969,0.0852055,1,0.0852055
167658,0.0852055,0.0200475,1.43901e-07
485279,0.0852055,0.0115154,7.51007e-08
367581,0.0852055,0.869086,5.46205e-07
305306,0.0852055,0.0137476,0.0137242
62983,0.0852055,0.0102548,2.46792e-06
598507,0.0852055,0.0205804,8.00007e-10
45444,0.0852055,0.999626,0.0852055
483731,0.0852055,0.109825,0.0852051
349778,0.0852055,0.0171535,9.50008e-09
298603,0.0852055,0.0477267,4.90004e-09
416104,0.0852055,0.0115634,0
57311,0.0852055,0.0517397,0.0517351
159186,0.0852055,0.0109125,7.35686e-06
79680,0.0852055,0.0511343,2.20002e-09
290819,0.0852055,1,0.0852055
529310,0.0852055,0.0190638,4.90004e-09
174642,0.0852055,0.046193,1.81002e-08
246069,0.0852055,0.0287258,9.00008e-09
149892,0.0852055,0.0100872,7.52007e-08
253998,0.0852055,0.0201028,3.20193e-05
120307,0.0852055,0.502195,1.70201e-07
46954,0.0852055,0.0557654,4.80004e-09
503633,0.0360363,1,0.0360363
343361,0.0360363,1,0.0360363
77836,0.0360363,0.0115595,0
350649,0.0360363,0.0109089,0
71639,0.0360363,0.0513548,0.036036
432200,0.0360363,0.0556711,2.50002e-09
147614,0.0360363,0.869075,0.0360363
199286,0.0360363,0.999929,0.0360363
426557,0.0360363,0.0105214,0
158223,0.0360363,1,0.0360363
468162,0.0360363,0.0142688,0
194509,0.0360363,0.0132527,5.50005e-09
175243,0.0360363,0.0217936,0
145130,0.0360363,0.0129647,0
326854,0.0360363,0.0103961,0
318544,0.0360363,1,0.0360363
318233,0.0360363,0.0200475,0
334704,0.0360363,0.0115154,0
518156,0.0360363,0.869086,0.0360363
455881,0.0360363,0.0137476,0
87592,0.0360363,0.0102548,0
447932,0.0360363,0.0205804,2.80002e-09
105131,0.0360363,0.999626,0.0360363
333156,0.0360363,0.109825,3.00003e-10
500353,0.0360363,0.0171535,1.70001e-09
449178,0.0360363,0.0477267,0
265529,0.0360363,0.0115634,0
93264,0.0360363,0.0517397,3.00003e-10
8611,0.0360363,0.0109125,0
230255,0.0360363,0.0511343,1.10001e-09
140244,0.0360363,1,0.0360363
378735,0.0360363,0.0190638,0
24067,0.0360363,0.046193,1.00001e-10
95494,0.0360363,0.0287258,0
300467,0.0360363,0.0100872,0
103423,0.0360363,0.0201028,6.00005e-10
30268,0.0360363,0.502195,3.73003e-08
103621,0.0360363,0.0557654,0
846994,1,1,1
581469,1,0.0115595,0.0115595
152984,1,0.0109089,0.0109089
431994,1,0.0513548,0.0513548
71433,1,0.0556711,0.0556711
651247,1,0.869075,0.869075
702919,1,0.999929,0.999929
930190,1,0.0105214,0.0105214
345410,1,1,1
35471,1,0.0142688,0.0142688
698142,1,0.0132527,0.0132527
328390,1,0.0217936,0.0217936
648763,1,0.0129647,0.0129647
176779,1,0.0103961,0.0103961
185089,1,1,1
185400,1,0.0200475,0.0200475
838337,1,0.0115154,0.0115154
14523,1,0.869086,0.869086
47752,1,0.0137476,0.0137476
416041,1,0.0102548,0.0102548
951565,1,0.0205804,0.0205804
398502,1,0.999626,0.999626
836789,1,0.109825,0.109825
3280,1,0.0171535,0.0171535
54455,1,0.0477267,0.0477267
769162,1,0.0115634,0.0115634
410369,1,0.0517397,0.0517397
512244,1,0.0109125,0.0109125
273378,1,0.0511343,0.0511343
643877,1,1,1
882368,1,0.0190638,0.0190638
527700,1,0.046193,0.046193
599127,1,0.0287258,0.0287258
203166,1,0.0100872,0.0100872
607056,1,0.0201028,0.0201028
473365,1,0.502195,0.502195
400012,1,0.0557654,0.0557654
265525,1,0.0115595,0.0115595
694010,1,0.0109089,0.0109089
415000,1,0.0513548,0.0513548
775561,1,0.0556711,0.0556711
195747,1,0.869075,0.869075
144075,1,0.999929,0.999929
83196,1,0.0105214,0.0105214
501584,1,1,1
811523,1,0.0142688,0.0142688
148852,1,0.0132527,0.0132527
518604,1,0.0217936,0.0217936
198231,1,0.0129647,0.0129647
670215,1,0.0103961,0.0103961
661905,1,1,1
661594,1,0.0200475,0.0200475
8657,1,0.0115154,0.0115154
