Distance,fA,fB,fAB
693024,0.999999,0.732641,0.73264
256121,0.999999,1.0,0.999999
563250,0.999999,0.999917,0.999917
703634,0.999999,0.206377,0.206377
353100,0.999999,1.0,0.999999
396826,0.999999,0.209564,0.209564
146916,0.999999,1.0,0.999999
589647,0.999999,0.0263327,0.0263327
4156,0.999999,0.0130036,0.0130036
696924,0.999999,0.960883,0.960882
434756,0.999999,0.96419,0.96419
184163,0.999999,0.999998,0.999997
181871,0.999999,0.999998,0.999997
949145,0.732641,1.0,0.732641
129774,0.732641,0.999917,0.73264
10610,0.732641,0.206377,0.000122888
339924,0.732641,1.0,0.732641
296198,0.732641,0.209564,0.20956
546108,0.732641,1.0,0.732641
103377,0.732641,0.0263327,4.20551e-06
697180,0.732641,0.0130036,9.16063e-05
3900,0.732641,0.960883,0.732608
258268,0.732641,0.96419,0.724855
877187,0.732641,0.999998,0.732641
874895,0.732641,0.999998,0.732641
819371,1.0,0.999917,0.999917
959755,1.0,0.206377,0.206377
609221,1.0,1.0,1.0
652947,1.0,0.209564,0.209564
403037,1.0,1.0,1.0
845768,1.0,0.0263327,0.0263327
251965,1.0,0.0130036,0.0130036
953045,1.0,0.960883,0.960883
690877,1.0,0.96419,0.96419
71958,1.0,0.999998,0.999998
74250,1.0,0.999998,0.999998
140384,0.999917,0.206377,0.206377
210150,0.999917,1.0,0.999917
166424,0.999917,0.209564,0.209564
416334,0.999917,1.0,0.999917
26397,0.999917,0.0263327,0.0263327
567406,0.999917,0.0130036,0.0130036
133674,0.999917,0.960883,0.96081
128494,0.999917,0.96419,0.96419
747413,0.999917,0.999998,0.999915
745121,0.999917,0.999998,0.999915
350534,0.206377,1.0,0.206377
306808,0.206377,0.209564,1.8379e-05
556718,0.206377,1.0,0.206377
113987,0.206377,0.0263327,0.0263314
707790,0.206377,0.0130036,6.94768e-05
6710,0.206377,0.960883,0.206372
268878,0.206377,0.96419,0.194507
887797,0.206377,0.999998,0.206377
885505,0.206377,0.999998,0.206377
43726,1.0,0.209564,0.209564
206184,1.0,1.0,1.0
236547,1.0,0.0263327,0.0263327
357256,1.0,0.0130036,0.0130036
